
1s
1s
0s
Run actions/setup-node@v4
Found in cache @ /opt/hostedtoolcache/node/20.20.2/x64
Environment details
3m 28s
Run node check-script.js
=== GitHub Actions 检测开始 ===

📊 分组数: 6
🚫 黑名单: 6 条

📋 待检测IP总数: 1679

[*] 第一阶段(测速)开始: 1679 个IP
    [+] 有效IP: 121.154.42.141:19150  | 延迟: 828ms | 机房: ICN
    [+] 有效IP: 59.0.235.250:27015    | 延迟: 986ms | 机房: ICN
    [+] 有效IP: 222.97.154.26:37810   | 延迟: 614ms | 机房: ICN
    [+] 有效IP: 121.155.127.127:10911 | 延迟: 708ms | 机房: ICN
    [+] 有效IP: 121.154.96.50:18000   | 延迟: 790ms | 机房: ICN
    [+] 有效IP: 183.100.174.124:13720 | 延迟: 639ms | 机房: ICN
    [+] 有效IP: 59.31.107.42:13720    | 延迟: 617ms | 机房: ICN
    [+] 有效IP: 112.172.91.18:23791   | 延迟: 821ms | 机房: ICN
    [+] 有效IP: 59.5.198.233:10243    | 延迟: 696ms | 机房: ICN
    [+] 有效IP: 221.160.205.130:32412 | 延迟: 611ms | 机房: ICN
    [+] 有效IP: 14.56.25.219:18264    | 延迟: 725ms | 机房: ICN
    [+] 有效IP: 183.101.103.179:10003 | 延迟: 615ms | 机房: ICN
    [+] 有效IP: 59.25.212.132:18245   | 延迟: 835ms | 机房: ICN
    [+] 有效IP: 221.162.248.38:16923  | 延迟: 792ms | 机房: ICN
    [+] 有效IP: 121.175.250.4:16922   | 延迟: 702ms | 机房: ICN
    [+] 有效IP: 59.29.18.18:18086     | 延迟: 815ms | 机房: ICN
    [+] 有效IP: 218.150.34.228:10912  | 延迟: 688ms | 机房: ICN
